prefecture,category,name,rating,num_reviews,price_range
Tokyo,sushi,日本橋蛎殻町 すぎた,4.80,-1,"￥20,000～￥29,999"
Tokyo,sushi,鮨 さいとう,4.75,-1,"￥20,000～￥29,999"
Tokyo,sushi,東麻布 天本,4.71,-1,"￥30,000～￥39,999"
Tokyo,sushi,鮨 なんば 日比谷,4.69,-1,"￥30,000～￥39,999"
Tokyo,sushi,鮨 あらい,4.58,-1,"￥30,000～￥39,999"
Tokyo,sushi,三谷,4.57,-1,"￥40,000～￥49,999"
Tokyo,sushi,鮨 尚充,4.56,-1,"￥30,000～￥39,999"
Tokyo,sushi,さわ田,4.55,-1,"￥40,000～￥49,999"
Tokyo,sushi,すし 喜邑,4.55,-1,"￥30,000～￥39,999"
Tokyo,sushi,すし匠,4.47,-1,"￥30,000～￥39,999"
Tokyo,ramen,手打式超多加水麺 ののくら,4.09,-1,～￥999
Tokyo,ramen,麺庵ちとせ,4.06,-1,～￥999
Tokyo,ramen,Homemade Ramen 麦苗,4.02,-1,"￥1,000～￥1,999"
Tokyo,ramen,麺尊 RAGE,3.98,-1,"￥1,000～￥1,999"
Tokyo,ramen,メンドコロ キナリ,3.97,-1,～￥999
Tokyo,ramen,宍道湖しじみ中華蕎麦 琥珀,3.97,-1,～￥999
Tokyo,ramen,かしわぎ,3.95,-1,～￥999
Tokyo,ramen,麺屋 さくら井,3.95,-1,～￥999
Tokyo,ramen,中華蕎麦にし乃,3.94,-1,"￥1,000～￥1,999"
Tokyo,ramen,らぁ麺やまぐち,3.94,-1,"￥1,000～￥1,999"
Tokyo,izakaya,串揚げはやし,4.11,-1,"￥10,000～￥14,999"
Tokyo,izakaya,高太郎,3.94,-1,"￥6,000～￥7,999"
Tokyo,izakaya,食堂とだか,3.86,-1,"￥6,000～￥7,999"
Tokyo,izakaya,産直屋 たか,3.85,-1,"￥10,000～￥14,999"
Tokyo,izakaya,石臼挽き手打 蕎楽亭,3.84,-1,"￥4,000～￥4,999"
Tokyo,izakaya,鳥恵 上野広小路店,3.80,-1,"￥8,000～￥9,999"
Tokyo,izakaya,酒井商会,3.80,-1,"￥8,000～￥9,999"
Tokyo,izakaya,デリー 銀座店,3.79,-1,"￥2,000～￥2,999"
Tokyo,izakaya,南インド料理ダクシン 八重洲店,3.79,-1,"￥3,000～￥3,999"
Tokyo,izakaya,岸田屋,3.79,-1,"￥2,000～￥2,999"
Tokyo,bbq,日本橋蛎殻町 すぎた,4.80,-1,"￥20,000～￥29,999"
Tokyo,bbq,鮨 さいとう,4.75,-1,"￥20,000～￥29,999"
Tokyo,bbq,銀座 しのはら,4.74,-1,"￥30,000～￥39,999"
Tokyo,bbq,松川,4.73,-1,"￥50,000～￥59,999"
Tokyo,bbq,東麻布 天本,4.71,-1,"￥30,000～￥39,999"
Tokyo,bbq,新ばし 星野,4.70,-1,"￥40,000～￥49,999"
Tokyo,bbq,SUGALABO,4.69,-1,"￥50,000～￥59,999"
Tokyo,bbq,鮨 なんば 日比谷,4.69,-1,"￥30,000～￥39,999"
Tokyo,bbq,ペレグリーノ,4.68,-1,"￥40,000～￥49,999"
Tokyo,bbq,CHIUnE,4.67,-1,"￥50,000～￥59,999"
Kyoto,ramen,自家製麺と自然派食材　晴耕雨読,3.90,-1,-
Kyoto,ramen,俺のラーメン あっぱれ屋,3.79,-1,-
Kyoto,ramen,本家 第一旭 たかばし本店,3.77,-1,～￥999
Kyoto,ramen,麺屋 極鶏,3.77,-1,～￥999
Kyoto,ramen,らぁ麺 とうひち,3.77,-1,～￥999
Kyoto,ramen,あいつのラーメン かたぐるま 本店,3.77,-1,～￥999
Kyoto,ramen,麺屋 たけ井 本店,3.77,-1,～￥999
Kyoto,ramen,山崎麺二郎,3.77,-1,～￥999
Kyoto,ramen,無鉄砲 本店,3.76,-1,～￥999
Kyoto,ramen,麺や高倉二条,3.75,-1,～￥999
Kyoto,ramen,自家製麺と自然派食材　晴耕雨読,3.90,-1,-
Kyoto,ramen,俺のラーメン あっぱれ屋,3.79,-1,-
Kyoto,ramen,本家 第一旭 たかばし本店,3.77,-1,～￥999
Kyoto,ramen,麺屋 極鶏,3.77,-1,～￥999
Kyoto,ramen,らぁ麺 とうひち,3.77,-1,～￥999
Kyoto,ramen,あいつのラーメン かたぐるま 本店,3.77,-1,～￥999
Kyoto,ramen,麺屋 たけ井 本店,3.77,-1,～￥999
Kyoto,ramen,山崎麺二郎,3.77,-1,～￥999
Kyoto,ramen,無鉄砲 本店,3.76,-1,～￥999
Kyoto,ramen,麺や高倉二条,3.75,-1,～￥999
Kyoto,izakaya,むろまち 加地,3.85,-1,"￥6,000～￥7,999"
Kyoto,izakaya,蕎麦の実 よしむら,3.73,-1,"￥1,000～￥1,999"
Kyoto,izakaya,ぎょうざ 歩兵 祇園本店,3.72,-1,"￥1,000～￥1,999"
Kyoto,izakaya,赤垣屋,3.72,-1,"￥6,000～￥7,999"
Kyoto,izakaya,なな治,3.72,-1,"￥6,000～￥7,999"
Kyoto,izakaya,神馬,3.70,-1,"￥8,000～￥9,999"
Kyoto,izakaya,庶民,3.68,-1,"￥1,000～￥1,999"
Kyoto,izakaya,めなみ,3.68,-1,"￥5,000～￥5,999"
Kyoto,izakaya,楽庵,3.66,-1,"￥6,000～￥7,999"
Kyoto,izakaya,へんこつ,3.64,-1,"￥2,000～￥2,999"
Kyoto,bbq,道人,4.77,-1,"￥30,000～￥39,999"
Kyoto,bbq,緒方,4.74,-1,"￥40,000～￥49,999"
