dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
0,0,999,999,3.47
999,999,999,999,3.39
1999,1000,999,999,3.13
999,999,999,999,3.41
999,999,999,999,3.45
999,999,1999,1000,3.41
1999,1000,999,999,3.49
0,0,999,999,3.33
0,0,999,999,3.32
1999,1000,999,999,3.44
0,0,999,999,3.04
1999,1000,1999,1000,3.34
999,999,999,999,3.06
999,999,999,999,3.04
4999,4000,999,999,3.46
1999,1000,999,999,3.08
0,0,999,999,3.24
0,0,999,999,3.43
999,999,999,999,3.35
999,999,999,999,3.39
0,0,999,999,3.32
0,0,999,999,3.12
0,0,999,999,3.47
0,0,999,999,3.08
999,999,999,999,3.49
0,0,999,999,3.17
1999,1000,1999,1000,3.50
999,999,999,999,3.51
1999,1000,999,999,3.27
0,0,999,999,3.45
999,999,999,999,3.56
0,0,999,999,3.36
999,999,999,999,3.16
0,0,999,999,3.37
999,999,999,999,3.54
999,999,999,999,3.04
999,999,999,999,3.25
999,999,999,999,3.30
0,0,999,999,3.23
0,0,999,999,3.32
999,999,999,999,3.54
999,999,999,999,3.30
999,999,999,999,3.46
0,0,999,999,3.44
999,999,999,999,3.47
1999,1000,999,999,3.50
0,0,999,999,3.41
5999,5000,9999,8000,3.08
999,999,999,999,3.24
999,999,999,999,3.39
999,999,999,999,3.20
0,0,999,999,3.31
999,999,999,999,3.36
999,999,0,0,3.17
0,0,999,999,3.02
999,999,999,999,3.55
999,999,999,999,3.05
0,0,1999,1000,3.24
999,999,1999,1000,3.55
999,999,999,999,3.14
0,0,1999,1000,3.35
0,0,999,999,3.41
0,0,999,999,3.58
999,999,999,999,3.25
999,999,999,999,3.07
999,999,999,999,3.47
1999,1000,999,999,3.48
999,999,999,999,3.45
0,0,999,999,3.55
999,999,999,999,3.35
999,999,999,999,3.21
0,0,999,999,3.50
1999,1000,999,999,3.18
0,0,999,999,3.52
999,999,999,999,3.33
999,999,0,0,3.32
999,999,999,999,3.68
999,999,999,999,3.54
999,999,999,999,3.52
0,0,999,999,3.11
999,999,999,999,3.36
