dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
3999,3000,999,999,3.25
3999,3000,999,999,3.04
1999,1000,1999,1000,3.52
2999,2000,0,0,3.26
999,999,999,999,3.17
1999,1000,999,999,3.39
999,999,999,999,3.45
999,999,999,999,3.25
3999,3000,0,0,3.10
999,999,999,999,3.41
1999,1000,999,999,3.04
1999,1000,1999,1000,3.18
999,999,999,999,3.29
1999,1000,999,999,3.02
5999,5000,1999,1000,3.49
1999,1000,0,0,3.07
2999,2000,0,0,3.55
999,999,999,999,3.18
2999,2000,999,999,3.39
999,999,999,999,3.17
4999,4000,1999,1000,3.40
1999,1000,999,999,3.67
999,999,999,999,3.15
2999,2000,0,0,3.56
999,999,999,999,3.41
4999,4000,0,0,3.50
2999,2000,999,999,3.47
3999,3000,999,999,3.48
1999,1000,999,999,3.19
999,999,999,999,3.46
2999,2000,999,999,3.11
4999,4000,0,0,3.29
2999,2000,999,999,3.25
999,999,0,0,3.45
1999,1000,0,0,3.18
1999,1000,999,999,3.50
999,999,999,999,3.36
2999,2000,999,999,3.18
2999,2000,0,0,3.04
999,999,999,999,3.08
999,999,999,999,3.37
0,0,999,999,3.15
2999,2000,0,0,3.53
999,999,999,999,3.33
999,999,999,999,3.30
999,999,999,999,3.07
1999,1000,0,0,3.17
1999,1000,1999,1000,3.05
1999,1000,999,999,3.06
3999,3000,0,0,3.29
5999,5000,1999,1000,3.21
4999,4000,1999,1000,3.30
999,999,999,999,3.17
3999,3000,999,999,3.20
2999,2000,999,999,3.48
3999,3000,1999,1000,3.40
1999,1000,999,999,3.04
1999,1000,999,999,3.11
2999,2000,999,999,3.50
2999,2000,999,999,3.48
3999,3000,0,0,3.34
2999,2000,1999,1000,3.48
2999,2000,999,999,3.33
2999,2000,999,999,3.32
999,999,999,999,3.08
1999,1000,1999,1000,3.04
2999,2000,999,999,3.48
3999,3000,999,999,3.25
1999,1000,999,999,3.52
999,999,999,999,3.06
999,999,999,999,3.56
999,999,999,999,3.35
999,999,999,999,3.05
999,999,1999,1000,3.04
999,999,999,999,3.04
999,999,999,999,3.38
999,999,999,999,3.86
999,999,999,999,3.44
1999,1000,1999,1000,3.39
1999,1000,1999,1000,3.44
2999,2000,0,0,3.01
999,999,999,999,3.54
999,999,999,999,3.35
1999,1000,999,999,3.16
999,999,999,999,3.18
999,999,999,999,3.48
999,999,999,999,3.03
999,999,999,999,3.72
999,999,999,999,3.28
0,0,999,999,3.30
1999,1000,999,999,3.41
1999,1000,999,999,3.56
999,999,0,0,3.55
999,999,999,999,3.15
0,0,999,999,3.00
999,999,999,999,3.28
0,0,1999,1000,3.25
999,999,999,999,3.52
2999,2000,999,999,3.47
1999,1000,999,999,3.46
999,999,999,999,3.42
